859/549 _1.56
762-271 _491
844+906 _1750
146/543 _0.27
651*535 _348285
83+620 _703
355+417 _772
735/863 _0.85
713+720 _1433
376*141 _53016
285/925 _0.31
651-39 _612
948*738 _699624
218+163 _381
740+707 _1447
818*899 _735382
229+517 _746
240+919 _1159
827*827 _683929
314-532 _-218
502/37 _13.57
882-382 _500
39*388 _15132
930+498 _1428
818*341 _278938
478-81 _397
492+386 _878
211*490 _103390
601-477 _124
609+668 _1277
378-669 _-291
275/864 _0.32
667+562 _1229
396*630 _249480
164*470 _77080
270/220 _1.23
129-139 _-10
307*530 _162710
913+598 _1511
559+857 _1416
51-115 _-64
693+581 _1274
485+131 _616
518*941 _487438
185*224 _41440
194+755 _949
954-87 _867
966+117 _1083
576+369 _945
13+77 _90
627+659 _1286
260-213 _47
823-498 _325
761-148 _613
703/996 _0.71
740/573 _1.29
63+414 _477
533-134 _399
982/881 _1.11
863/190 _4.54
127*155 _19685
70+25 _95
887+972 _1859
632-408 _224
969-897 _72
396/809 _0.49
296*372 _110112
203/29 _7.0
411+112 _523
820*897 _735540
945/572 _1.65
700*286 _200200
186/174 _1.07
625*835 _521875
127-661 _-534
499-986 _-487
860+749 _1609
483+607 _1090
811*595 _482545
935+472 _1407
995+186 _1181
351+654 _1005
380+137 _517
741-924 _-183
444/883 _0.5
912-826 _86
318-454 _-136
183+555 _738
530/556 _0.95
914+564 _1478
892+875 _1767
447/403 _1.11
892/356 _2.51
650-585 _65
363+540 _903
65/574 _0.11
81+326 _407
593+325 _918
446/685 _0.65
829+421 _1250
461+622 _1083
715+486 _1201
922/926 _1.0
252/606 _0.42
729/714 _1.02
271/741 _0.37
564/52 _10.85
498*368 _183264
345-978 _-633
126-713 _-587
615-755 _-140
371+316 _687
539*182 _98098
769-875 _-106
122/82 _1.49
167*285 _47595
324+249 _573
452*7 _3164
34/245 _0.14
59*291 _17169
231+923 _1154
899*717 _644583
419-898 _-479
46-873 _-827
56*924 _51744
808*98 _79184
133*674 _89642
361-961 _-600
181+822 _1003
734*275 _201850
575/547 _1.05
161-610 _-449
660*480 _316800
105/120 _0.88
885-34 _851
814+414 _1228
436*312 _136032
264/98 _2.69
55/507 _0.11
119*722 _85918
100/458 _0.22
351*559 _196209
284+631 _915
647*257 _166279
245+72 _317
646-703 _-57
708-966 _-258
67-508 _-441
479-270 _209
370+541 _911
203*308 _62524
563/59 _9.54
832/727 _1.14
705*662 _466710
557+551 _1108
49/569 _0.09
646-556 _90
965/737 _1.31
72/888 _0.08
912-727 _185
92/885 _0.1
17-969 _-952
79/568 _0.14
220-685 _-465
420+446 _866
755/167 _4.52
969/542 _1.79
872+361 _1233
846+956 _1802
65-604 _-539
889-999 _-110
